customer_number,customer_register_time,platform,last_login,total_purchase,redeemed_amount,lost,gap_less_than_2_weeks,churned,censored,event_time,event_observed,platform_encoded
1,2023-04-13,Web,2024-01-16,10,0,False,False,False,False,278,True,2
2,2023-12-15,Mobile,2024-01-15,2,0,False,False,False,False,31,True,0
3,2023-09-28,Mobile,2024-08-25,75,10,False,False,False,True,332,False,0
4,2023-04-17,Mobile,2023-11-28,18,50,False,False,False,True,225,False,0
5,2023-03-13,Mobile,2023-07-17,6,20,True,False,False,True,126,False,0
6,2023-07-08,Web,2023-09-19,26,0,True,False,False,False,73,True,2
7,2023-01-21,Mobile,2023-04-06,6,0,True,False,False,False,75,True,0
8,2023-04-13,Web,2023-09-14,48,20,True,False,False,True,154,False,2
9,2023-05-02,Referral,2023-11-09,10,0,False,False,False,False,191,True,1
10,2023-08-03,Web,2024-04-09,11,20,False,False,False,True,250,False,2
11,2023-11-27,Mobile,2024-06-14,61,20,False,False,False,True,200,False,0
12,2023-03-29,Web,2023-05-04,24,0,True,False,False,False,36,True,2
13,2023-04-10,Web,2023-08-01,65,0,True,False,False,False,113,True,2
14,2023-12-26,Mobile,2024-12-17,15,0,False,False,False,False,357,True,0
15,2023-06-01,Referral,2023-06-06,12,0,True,True,False,False,5,True,1
16,2023-05-11,Mobile,2023-11-13,21,20,False,False,False,True,186,False,0
17,2023-05-30,Referral,2023-11-24,1,50,False,False,False,True,178,False,1
18,2023-11-05,Mobile,2024-04-26,5,50,False,False,False,True,173,False,0
19,2023-09-15,Mobile,2024-05-24,7,0,False,False,False,False,252,True,0
20,2023-12-10,Web,2024-03-31,50,50,False,False,False,True,112,False,2
21,2023-10-21,Referral,2024-08-17,39,20,False,False,False,True,301,False,1
22,2023-07-11,Web,2024-04-04,6,20,False,False,False,True,268,False,2
23,2023-10-04,Referral,2023-11-07,9,50,False,False,False,True,34,False,1
24,2023-06-10,Referral,2024-04-11,86,0,False,False,False,False,306,True,1
25,2023-11-10,Referral,2024-10-31,2,0,False,False,False,False,356,True,1
26,2023-01-22,Mobile,2023-12-09,23,0,False,False,False,False,321,True,0
27,2023-09-10,Mobile,2024-04-26,22,0,False,False,False,False,229,True,0
28,2023-08-24,Mobile,2023-11-25,38,0,False,False,False,False,93,True,0
29,2023-12-11,Web,2024-08-05,9,0,False,False,False,False,238,True,2
30,2023-02-18,Mobile,2023-08-09,81,0,True,False,False,False,172,True,0
31,2023-02-28,Web,2023-10-21,15,0,True,False,False,False,235,True,2
32,2023-06-19,Mobile,2023-10-27,10,50,True,False,False,True,130,False,0
33,2023-07-07,Web,2023-09-10,12,0,True,False,False,False,65,True,2
34,2023-09-28,Web,2024-01-30,12,0,False,False,False,False,124,True,2
35,2023-07-09,Web,2024-01-19,6,0,False,False,False,False,194,True,2
36,2023-06-24,Mobile,2023-10-27,78,0,True,False,False,False,125,True,0
37,2023-02-20,Mobile,2023-04-13,5,0,True,False,False,False,52,True,0
38,2023-12-30,Web,2024-07-23,64,0,False,False,False,False,206,True,2
39,2023-02-24,Mobile,2023-04-28,15,0,True,False,False,False,63,True,0
40,2023-09-01,Web,2024-03-08,9,20,False,False,False,True,189,False,2
41,2023-11-16,Mobile,2024-06-30,6,0,False,False,False,False,227,True,0
42,2023-05-11,Mobile,2023-05-26,21,20,True,False,False,True,15,False,0
43,2023-11-03,Mobile,2024-08-14,33,20,False,False,False,True,285,False,0
44,2023-05-15,Mobile,2023-11-24,68,20,False,False,False,True,193,False,0
45,2023-01-21,Web,2023-11-23,31,0,False,False,False,False,306,True,2
46,2023-11-25,Mobile,2024-10-04,19,0,False,False,False,False,314,True,0
47,2023-06-16,Mobile,2024-02-12,1,0,False,False,False,False,241,True,0
48,2023-10-01,Mobile,2023-11-08,74,0,False,False,False,False,38,True,0
49,2023-03-30,Mobile,2024-03-08,69,0,False,False,False,False,344,True,0
50,2023-11-12,Web,2024-03-30,14,0,False,False,False,False,139,True,2
51,2023-01-14,Mobile,2023-03-21,0,0,True,False,False,False,66,True,0
52,2023-08-30,Mobile,2024-07-12,39,0,False,False,False,False,317,True,0
53,2023-09-22,Web,2024-05-10,47,50,False,False,False,True,231,False,2
54,2023-12-12,Web,2024-03-18,23,0,False,False,False,False,97,True,2
55,2023-02-22,Web,2023-06-22,15,0,True,False,False,False,120,True,2
56,2023-12-06,Referral,2024-11-06,57,20,False,False,False,True,336,False,1
57,2023-04-02,Mobile,2023-08-17,6,50,True,False,False,True,137,False,0
58,2023-09-21,Web,2024-08-22,17,0,False,False,False,False,336,True,2
59,2023-02-04,Web,2023-11-28,0,0,False,False,False,False,297,True,2
60,2023-07-25,Mobile,2024-02-07,5,0,False,False,False,False,197,True,0
61,2023-03-22,Referral,2023-04-25,84,20,True,False,False,True,34,False,1
62,2023-02-19,Web,2023-12-18,25,0,False,False,False,False,302,True,2
63,2023-12-26,Web,2024-02-29,49,10,False,False,False,True,65,False,2
64,2023-01-02,Referral,2023-11-06,19,10,False,False,False,True,308,False,1
65,2023-02-23,Web,2024-02-02,54,0,False,False,False,False,344,True,2
66,2023-04-16,Web,2024-04-03,23,0,False,False,False,False,353,True,2
67,2023-09-17,Referral,2024-08-10,0,0,False,False,False,False,328,True,1
68,2023-11-06,Mobile,2024-09-07,68,0,False,False,False,False,306,True,0
69,2023-07-10,Web,2023-08-11,4,0,True,False,False,False,32,True,2
70,2023-08-06,Web,2023-10-26,17,0,True,False,False,False,81,True,2
71,2023-02-13,Web,2023-06-18,19,20,True,False,False,True,125,False,2
72,2023-06-11,Web,2023-06-18,1,20,True,True,False,True,7,False,2
73,2023-07-21,Referral,2023-08-31,1,0,True,False,False,False,41,True,1
74,2023-09-27,Mobile,2024-02-25,43,0,False,False,False,False,151,True,0
75,2023-12-17,Mobile,2024-03-22,10,20,False,False,False,True,96,False,0
76,2023-10-31,Referral,2024-10-08,15,50,False,False,False,True,343,False,1
77,2023-09-28,Mobile,2024-07-01,24,0,False,False,False,False,277,True,0
78,2023-08-03,Web,2023-11-02,14,10,False,False,False,True,91,False,2
79,2023-09-09,Mobile,2023-10-23,44,0,True,False,False,False,44,True,0
80,2023-07-09,Referral,2024-01-07,64,0,False,False,False,False,182,True,1
81,2023-10-23,Referral,2024-09-20,1,0,False,False,False,False,333,True,1
82,2023-08-01,Web,2024-05-16,30,20,False,False,False,True,289,False,2
83,2023-07-27,Mobile,2023-09-11,11,0,True,False,False,False,46,True,0
84,2023-08-25,Mobile,2024-06-09,26,10,False,False,False,True,289,False,0
85,2023-12-04,Referral,2024-02-12,19,0,False,False,False,False,70,True,1
86,2023-02-22,Web,2023-06-30,12,0,True,False,False,False,128,True,2
87,2023-10-07,Mobile,2024-03-04,2,0,False,False,False,False,149,True,0
88,2023-08-05,Referral,2023-12-07,24,0,False,False,False,False,124,True,1
89,2023-09-09,Mobile,2023-12-31,3,0,False,False,False,False,113,True,0
90,2023-07-07,Mobile,2023-10-11,5,0,True,False,False,False,96,True,0
91,2023-02-10,Web,2023-12-19,120,0,False,False,False,False,312,True,2
92,2023-06-06,Web,2023-08-09,11,0,True,False,False,False,64,True,2
93,2023-01-15,Web,2024-01-04,26,0,False,False,False,False,354,True,2
94,2023-10-28,Referral,2024-06-15,9,10,False,False,False,True,231,False,1
95,2023-03-06,Web,2023-11-05,60,0,False,False,False,False,244,True,2
96,2023-12-11,Mobile,2024-07-14,9,0,False,False,False,False,216,True,0
97,2023-11-23,Mobile,2024-03-04,13,10,False,False,False,True,102,False,0
98,2023-01-09,Web,2023-01-27,28,0,True,False,False,False,18,True,2
99,2023-12-10,Mobile,2024-07-19,61,0,False,False,False,False,222,True,0
100,2023-05-09,Mobile,2023-10-30,50,0,True,False,False,False,174,True,0
101,2023-05-16,Referral,2024-03-22,9,0,False,False,False,False,311,True,1
102,2023-03-04,Mobile,2023-12-13,53,0,False,False,False,False,284,True,0
103,2023-05-19,Mobile,2023-12-19,36,0,False,False,False,False,214,True,0
104,2023-03-22,Web,2023-12-07,137,0,False,False,False,False,260,True,2
105,2023-06-12,Referral,2023-12-04,82,0,False,False,False,False,175,True,1
106,2023-10-16,Web,2024-01-01,22,0,False,False,False,False,77,True,2
107,2023-09-18,Mobile,2024-02-16,41,0,False,False,False,False,151,True,0
108,2023-08-19,Web,2024-07-28,25,0,False,False,False,False,344,True,2
109,2023-02-10,Referral,2023-12-28,27,10,False,False,False,True,321,False,1
110,2023-01-28,Mobile,2023-05-18,3,0,True,False,False,False,110,True,0
111,2023-05-15,Mobile,2023-08-21,0,0,True,False,False,False,98,True,0
112,2023-07-20,Web,2023-09-25,1,50,True,False,False,True,67,False,2
113,2023-11-24,Mobile,2024-04-30,102,20,False,False,False,True,158,False,0
114,2023-09-25,Mobile,2024-06-10,4,0,False,False,False,False,259,True,0
115,2023-02-02,Mobile,2024-01-23,1,0,False,False,False,False,355,True,0
116,2023-02-17,Web,2023-03-28,11,0,True,False,False,False,39,True,2
117,2023-03-03,Referral,2024-01-24,26,50,False,False,False,True,327,False,1
118,2023-08-04,Referral,2024-06-15,88,0,False,False,False,False,316,True,1
119,2023-10-20,Web,2024-08-15,36,0,False,False,False,False,300,True,2
