customer_number,customer_register_time,platform,last_login,total_purchase,redeemed_amount,lost,gap_less_than_2_weeks,churned,censored,event_time,event_observed,platform_encoded,intervention,intervention_encoded,adjusted_hazard
1,2023-04-13,Web,2024-01-16,10,0,False,False,False,False,278,True,2,False,0,1.0
2,2023-12-15,Mobile,2024-01-15,2,0,False,False,False,False,31,True,0,False,0,1.0
3,2023-09-28,Mobile,2024-08-25,75,10,False,False,False,True,332,False,0,False,0,0.0
4,2023-04-17,Mobile,2023-11-28,18,50,False,False,False,True,225,False,0,False,0,0.0
5,2023-03-13,Mobile,2023-07-17,6,20,True,False,False,True,126,False,0,False,0,0.0
6,2023-07-08,Web,2023-09-19,26,0,True,False,False,False,73,True,2,True,1,0.8
7,2023-01-21,Mobile,2023-04-06,6,0,True,False,False,False,75,True,0,False,0,1.0
8,2023-04-13,Web,2023-09-14,48,20,True,False,False,True,154,False,2,True,1,0.0
9,2023-05-02,Referral,2023-11-09,10,0,False,False,False,False,191,True,1,False,0,1.0
10,2023-08-03,Web,2024-04-09,11,20,False,False,False,True,250,False,2,False,0,0.0
11,2023-11-27,Mobile,2024-06-14,61,20,False,False,False,True,200,False,0,False,0,0.0
12,2023-03-29,Web,2023-05-04,24,0,True,False,False,False,36,True,2,True,1,0.8
13,2023-04-10,Web,2023-08-01,65,0,True,False,False,False,113,True,2,True,1,0.8
14,2023-12-26,Mobile,2024-12-17,15,0,False,False,False,False,357,True,0,False,0,1.0
15,2023-06-01,Referral,2023-06-06,12,0,True,True,False,False,5,True,1,True,1,0.8
16,2023-05-11,Mobile,2023-11-13,21,20,False,False,False,True,186,False,0,False,0,0.0
17,2023-05-30,Referral,2023-11-24,1,50,False,False,False,True,178,False,1,False,0,0.0
18,2023-11-05,Mobile,2024-04-26,5,50,False,False,False,True,173,False,0,False,0,0.0
19,2023-09-15,Mobile,2024-05-24,7,0,False,False,False,False,252,True,0,False,0,1.0
20,2023-12-10,Web,2024-03-31,50,50,False,False,False,True,112,False,2,False,0,0.0
21,2023-10-21,Referral,2024-08-17,39,20,False,False,False,True,301,False,1,False,0,0.0
22,2023-07-11,Web,2024-04-04,6,20,False,False,False,True,268,False,2,False,0,0.0
23,2023-10-04,Referral,2023-11-07,9,50,False,False,False,True,34,False,1,False,0,0.0
24,2023-06-10,Referral,2024-04-11,86,0,False,False,False,False,306,True,1,False,0,1.0
25,2023-11-10,Referral,2024-10-31,2,0,False,False,False,False,356,True,1,False,0,1.0
26,2023-01-22,Mobile,2023-12-09,23,0,False,False,False,False,321,True,0,False,0,1.0
27,2023-09-10,Mobile,2024-04-26,22,0,False,False,False,False,229,True,0,False,0,1.0
28,2023-08-24,Mobile,2023-11-25,38,0,False,False,False,False,93,True,0,False,0,1.0
29,2023-12-11,Web,2024-08-05,9,0,False,False,False,False,238,True,2,False,0,1.0
30,2023-02-18,Mobile,2023-08-09,81,0,True,False,False,False,172,True,0,True,1,0.8
31,2023-02-28,Web,2023-10-21,15,0,True,False,False,False,235,True,2,True,1,0.8
32,2023-06-19,Mobile,2023-10-27,10,50,True,False,False,True,130,False,0,False,0,0.0
33,2023-07-07,Web,2023-09-10,12,0,True,False,False,False,65,True,2,True,1,0.8
34,2023-09-28,Web,2024-01-30,12,0,False,False,False,False,124,True,2,False,0,1.0
35,2023-07-09,Web,2024-01-19,6,0,False,False,False,False,194,True,2,False,0,1.0
36,2023-06-24,Mobile,2023-10-27,78,0,True,False,False,False,125,True,0,True,1,0.8
37,2023-02-20,Mobile,2023-04-13,5,0,True,False,False,False,52,True,0,True,1,0.8
38,2023-12-30,Web,2024-07-23,64,0,False,False,False,False,206,True,2,False,0,1.0
39,2023-02-24,Mobile,2023-04-28,15,0,True,False,False,False,63,True,0,True,1,0.8
40,2023-09-01,Web,2024-03-08,9,20,False,False,False,True,189,False,2,False,0,0.0
41,2023-11-16,Mobile,2024-06-30,6,0,False,False,False,False,227,True,0,False,0,1.0
42,2023-05-11,Mobile,2023-05-26,21,20,True,False,False,True,15,False,0,False,0,0.0
43,2023-11-03,Mobile,2024-08-14,33,20,False,False,False,True,285,False,0,False,0,0.0
44,2023-05-15,Mobile,2023-11-24,68,20,False,False,False,True,193,False,0,False,0,0.0
45,2023-01-21,Web,2023-11-23,31,0,False,False,False,False,306,True,2,False,0,1.0
46,2023-11-25,Mobile,2024-10-04,19,0,False,False,False,False,314,True,0,False,0,1.0
47,2023-06-16,Mobile,2024-02-12,1,0,False,False,False,False,241,True,0,False,0,1.0
48,2023-10-01,Mobile,2023-11-08,74,0,False,False,False,False,38,True,0,False,0,1.0
49,2023-03-30,Mobile,2024-03-08,69,0,False,False,False,False,344,True,0,False,0,1.0
50,2023-11-12,Web,2024-03-30,14,0,False,False,False,False,139,True,2,False,0,1.0
51,2023-01-14,Mobile,2023-03-21,0,0,True,False,False,False,66,True,0,True,1,0.8
52,2023-08-30,Mobile,2024-07-12,39,0,False,False,False,False,317,True,0,False,0,1.0
53,2023-09-22,Web,2024-05-10,47,50,False,False,False,True,231,False,2,False,0,0.0
