customer_number,customer_register_time,platform,last_login,total_purchase,redeemed_amount
1,2023-04-13,Web,2024-01-16,10,0
2,2023-12-15,Mobile,2024-01-15,2,0
3,2023-09-28,Mobile,2024-08-25,75,10
4,2023-04-17,Mobile,2023-11-28,18,50
5,2023-03-13,Mobile,2023-07-17,6,20
6,2023-07-08,Web,2023-09-19,26,0
7,2023-01-21,Mobile,2023-04-06,6,0
8,2023-04-13,Web,2023-09-14,48,20
9,2023-05-02,Referral,2023-11-09,10,0
10,2023-08-03,Web,2024-04-09,11,20
11,2023-11-27,Mobile,2024-06-14,61,20
12,2023-03-29,Web,2023-05-04,24,0
13,2023-04-10,Web,2023-08-01,65,0
14,2023-12-26,Mobile,2024-12-17,15,0
15,2023-06-01,Referral,2023-06-06,12,0
16,2023-05-11,Mobile,2023-11-13,21,20
17,2023-05-30,Referral,2023-11-24,1,50
18,2023-11-05,Mobile,2024-04-26,5,50
19,2023-09-15,Mobile,2024-05-24,7,0
20,2023-12-10,Web,2024-03-31,50,50
21,2023-10-21,Referral,2024-08-17,39,20
22,2023-07-11,Web,2024-04-04,6,20
23,2023-10-04,Referral,2023-11-07,9,50
24,2023-06-10,Referral,2024-04-11,86,0
25,2023-11-10,Referral,2024-10-31,2,0
26,2023-01-22,Mobile,2023-12-09,23,0
27,2023-09-10,Mobile,2024-04-26,22,0
28,2023-08-24,Mobile,2023-11-25,38,0
29,2023-12-11,Web,2024-08-05,9,0
30,2023-02-18,Mobile,2023-08-09,81,0
31,2023-02-28,Web,2023-10-21,15,0
32,2023-06-19,Mobile,2023-10-27,10,50
33,2023-07-07,Web,2023-09-10,12,0
34,2023-09-28,Web,2024-01-30,12,0
35,2023-07-09,Web,2024-01-19,6,0
36,2023-06-24,Mobile,2023-10-27,78,0
37,2023-02-20,Mobile,2023-04-13,5,0
38,2023-12-30,Web,2024-07-23,64,0
39,2023-02-24,Mobile,2023-04-28,15,0
40,2023-09-01,Web,2024-03-08,9,20
41,2023-11-16,Mobile,2024-06-30,6,0
42,2023-05-11,Mobile,2023-05-26,21,20
43,2023-11-03,Mobile,2024-08-14,33,20
44,2023-05-15,Mobile,2023-11-24,68,20
45,2023-01-21,Web,2023-11-23,31,0
46,2023-11-25,Mobile,2024-10-04,19,0
47,2023-06-16,Mobile,2024-02-12,1,0
48,2023-10-01,Mobile,2023-11-08,74,0
49,2023-03-30,Mobile,2024-03-08,69,0
50,2023-11-12,Web,2024-03-30,14,0
51,2023-01-14,Mobile,2023-03-21,0,0
52,2023-08-30,Mobile,2024-07-12,39,0
53,2023-09-22,Web,2024-05-10,47,50
54,2023-12-12,Web,2024-03-18,23,0
55,2023-02-22,Web,2023-06-22,15,0
56,2023-12-06,Referral,2024-11-06,57,20
57,2023-04-02,Mobile,2023-08-17,6,50
